timestamp,score
60:00,24:31
59:23,24:31
58:57,24:30
58:54,23:30
58:10,23:30
57:43,23:29
57:16,22:29
57:10,22:29
56:08,22:29
56:06,22:29
55:18,22:28
55:13,22:28
55:11,22:28
54:41,22:27
54:11,22:27
54:02,22:26
53:33,22:26
53:30,22:25
52:54,22:25
52:26,22:25
51:54,22:25
51:36,21:25
51:36,21:25
51:24,21:25
51:00,21:25
49:50,21:25
49:36,21:25
49:04,21:25
48:48,21:24
48:03,21:24
47:21,20:24
46:48,20:24
46:48,20:24
45:58,20:24
45:55,20:23
45:25,20:23
45:06,20:23
44:57,20:23
44:29,20:23
44:01,19:23
43:28,19:22
42:58,18:22
42:24,18:22
42:15,18:22
41:29,18:21
41:01,17:21
40:59,17:21
40:17,17:21
40:12,16:21
39:47,16:21
39:12,16:21
38:42,16:20
38:11,15:20
37:48,15:19
37:07,15:19
36:25,15:18
35:28,14:18
35:18,14:18
34:42,14:18
34:31,14:18
34:01,14:18
33:59,14:18
32:57,14:18
32:54,14:18
32:54,14:18
32:49,14:18
32:26,13:18
31:51,13:17
31:15,12:17
31:10,12:17
30:36,12:17
30:00,12:16
29:57,12:16
29:43,12:16
29:22,12:16
28:45,12:16
28:18,12:16
28:07,12:15
27:44,12:15
27:39,12:15
27:03,12:15
26:59,12:15
26:32,12:15
26:22,12:14
25:57,11:14
25:47,11:13
25:22,10:13
25:01,10:12
24:51,10:12
24:41,10:12
24:31,10:12
23:59,10:12
23:53,10:12
23:43,10:12
23:00,9:12
22:52,9:12
22:22,9:12
22:07,9:12
21:21,9:12
21:21,9:12
21:16,9:11
21:05,9:11
20:19,9:10
20:00,9:10
19:30,9:9
19:09,8:9
17:51,8:9
17:45,8:8
17:30,7:8
17:14,7:8
16:58,7:8
16:25,7:8
15:31,6:8
14:56,6:7
14:44,5:7
14:11,5:6
13:55,4:6
13:50,4:6
13:13,4:5
12:57,3:5
12:49,3:5
12:05,3:5
11:43,2:5
11:12,2:5
10:36,2:5
10:28,2:5
09:57,1:5
09:54,1:4
09:39,1:4
09:24,1:3
09:05,1:3
08:48,1:2
07:50,1:2
07:12,1:2
07:08,1:1
05:51,1:1
05:46,1:1
05:26,1:1
04:58,1:1
03:28,1:1
03:04,1:1
02:08,1:1
01:52,0:1
01:40,0:0
00:52,0:0
00:48,0:0
