timestamp,score
60:00,39:31
59:43,39:31
59:40,38:31
59:22,38:31
58:54,38:31
58:29,37:31
58:15,37:30
57:59,37:30
57:50,37:29
57:18,36:29
57:16,36:29
57:07,36:29
56:57,36:29
56:22,36:28
55:57,35:28
55:44,35:28
55:32,35:28
55:09,35:28
55:00,35:28
54:10,35:27
53:38,35:27
53:02,34:27
52:57,34:26
52:48,34:26
52:23,34:25
52:09,34:25
52:01,34:25
51:28,33:25
51:20,33:25
50:39,32:25
50:11,32:25
49:58,31:25
49:26,31:25
49:21,30:25
49:03,30:25
48:30,30:25
48:29,30:25
48:24,30:24
47:48,30:24
47:43,30:23
46:53,30:23
46:50,30:23
46:13,30:23
45:45,29:23
45:10,29:22
44:51,28:22
44:42,28:21
44:30,28:21
44:06,28:21
43:55,28:20
43:46,27:20
43:34,27:20
43:10,27:20
42:50,27:20
42:36,26:20
42:09,26:20
42:01,26:19
41:38,26:19
41:09,26:18
40:36,25:18
40:30,25:17
39:56,25:17
39:23,25:17
38:46,24:17
38:17,24:17
38:01,24:17
37:44,24:17
37:34,24:16
37:12,23:16
37:03,23:15
36:07,23:15
35:54,23:15
35:38,23:15
35:04,23:14
34:58,22:14
34:27,22:14
34:21,21:14
33:43,21:14
33:38,20:14
33:31,20:14
32:38,20:14
32:32,19:14
32:07,19:14
31:39,19:14
31:13,19:14
31:03,19:13
30:54,18:13
30:39,18:13
30:00,18:13
29:43,18:13
29:16,17:13
28:52,17:13
28:45,17:13
28:19,17:13
28:05,16:13
27:56,16:13
27:53,16:12
27:41,16:12
27:12,16:11
26:52,15:11
25:58,15:10
25:44,14:10
25:15,14:10
25:04,14:10
24:47,14:10
24:16,14:10
23:30,13:10
22:46,13:10
22:04,13:10
21:30,13:10
20:53,12:10
20:44,12:10
20:36,12:9
19:23,11:9
19:12,11:9
18:42,11:9
18:31,11:8
17:56,11:8
17:27,11:8
16:14,11:8
16:13,11:8
16:04,10:8
15:35,10:8
15:02,9:8
14:54,9:7
14:22,8:7
13:56,8:7
13:26,7:7
12:56,7:7
12:41,7:7
12:11,7:7
11:35,7:6
11:03,6:6
10:36,6:5
09:57,5:5
09:38,5:5
09:31,5:5
09:27,5:5
08:53,5:5
08:42,4:5
07:53,4:5
07:46,4:5
06:43,4:5
06:33,4:5
06:31,4:4
06:00,4:4
05:32,4:4
05:26,4:3
05:16,4:3
05:06,4:3
04:56,3:3
03:56,3:3
03:27,2:3
02:38,2:2
02:15,2:2
01:55,2:2
01:44,2:1
01:31,1:1
00:56,1:0
00:50,0:0
