timestamp,score
60:00,33:26
59:45,33:25
59:43,32:25
59:30,32:25
59:14,31:25
58:46,31:24
58:38,30:24
57:58,30:24
57:10,30:23
57:04,30:23
56:53,30:23
56:22,30:22
56:04,29:22
55:22,29:22
54:59,28:22
54:46,28:21
54:36,28:21
54:03,28:20
54:03,28:20
53:38,27:20
53:35,27:20
53:06,27:20
52:45,27:19
52:34,27:19
52:15,27:19
52:09,26:19
52:05,26:19
51:39,26:19
51:18,26:18
50:35,26:18
49:51,26:18
49:31,25:18
49:31,25:18
49:25,25:17
49:23,25:17
49:06,25:17
48:59,24:17
48:47,24:17
48:18,24:17
47:48,24:17
47:45,23:17
47:12,23:17
47:07,23:16
46:58,23:16
46:42,23:16
46:06,23:16
45:55,23:16
45:17,23:16
44:54,23:16
44:22,22:16
44:18,22:15
44:08,22:15
43:29,22:15
43:00,22:15
41:57,21:15
40:46,21:15
40:03,20:15
40:03,20:15
39:32,20:15
39:09,19:15
38:54,19:15
38:51,18:15
38:03,18:15
37:56,17:15
37:40,17:15
37:13,17:14
36:41,17:14
36:31,17:14
35:58,17:14
35:22,17:14
35:06,17:14
34:56,16:14
33:46,16:13
32:19,16:13
31:46,16:13
31:16,16:13
30:54,16:12
30:49,15:12
30:21,15:12
30:16,14:12
30:00,14:12
29:45,14:12
29:41,13:12
28:36,13:12
28:30,12:12
28:22,12:12
28:12,12:12
27:54,12:12
27:25,12:12
27:01,12:12
26:55,12:11
26:39,12:11
26:39,12:11
26:13,12:11
25:57,12:11
25:19,12:11
24:51,12:10
24:12,12:10
23:57,12:9
22:47,12:9
22:47,12:9
22:39,12:8
22:29,11:8
22:21,11:7
21:49,10:7
21:23,10:7
20:47,9:7
20:39,9:7
20:34,9:7
20:28,9:7
20:04,9:7
19:43,9:7
19:05,9:6
18:34,8:6
18:10,8:6
17:58,8:6
17:28,8:6
17:20,8:6
17:09,7:6
16:50,7:6
16:15,7:6
16:00,6:6
15:39,6:6
15:36,6:6
15:12,6:6
15:05,6:6
14:54,6:6
14:48,6:6
14:29,6:6
13:53,6:5
12:38,5:5
12:10,5:5
11:39,5:5
11:01,5:5
10:53,5:5
10:24,5:5
09:37,5:5
09:10,4:5
08:30,4:4
07:48,4:4
07:21,3:4
07:05,3:3
06:48,3:3
06:31,2:3
05:54,2:3
04:55,2:3
04:43,1:3
04:15,1:2
03:58,1:2
03:33,1:1
02:47,1:1
02:18,1:0
01:38,1:0
01:25,1:0
01:16,1:0
00:28,1:0
