timestamp,score
59:42,30:34
59:14,29:34
58:36,29:34
57:51,28:34
57:18,28:33
57:10,28:33
56:21,28:33
56:08,27:33
55:36,27:33
55:14,26:33
54:41,26:32
54:25,25:32
53:48,25:32
53:14,25:32
53:10,25:32
52:38,25:31
52:05,25:31
51:53,25:30
51:30,25:30
51:26,25:29
51:13,25:29
50:31,24:29
50:18,24:28
49:53,24:28
49:24,24:27
48:22,24:27
47:53,24:26
47:26,24:26
47:01,24:25
46:27,24:25
45:57,23:25
45:31,23:24
44:53,23:24
44:48,22:24
44:42,22:24
44:35,22:24
44:00,22:24
43:53,21:24
43:41,21:24
43:07,21:23
42:54,20:23
42:34,20:23
42:06,20:22
42:04,20:22
41:56,20:22
41:20,20:22
40:53,20:22
40:18,19:22
39:46,19:21
39:26,18:21
38:52,18:21
38:47,18:21
38:14,18:21
37:44,18:21
37:12,18:21
37:05,18:20
36:36,18:20
36:06,18:20
35:10,17:20
35:06,17:19
34:40,17:19
33:59,17:19
33:28,16:19
33:01,16:19
32:56,16:19
32:20,16:19
31:53,15:19
31:42,15:19
31:37,15:19
31:24,15:19
30:56,14:19
30:47,14:18
29:44,13:18
29:42,13:18
29:20,13:18
28:48,13:18
28:38,13:18
28:08,13:18
27:57,12:18
27:18,12:17
26:18,12:17
25:46,12:16
25:14,12:16
25:08,12:15
24:42,12:15
24:20,12:15
24:10,12:15
23:42,11:15
23:40,11:14
23:05,11:14
22:36,10:14
22:33,10:13
22:23,10:13
21:50,10:13
20:56,9:13
20:25,9:13
19:38,8:13
19:29,8:12
18:37,8:12
18:30,8:11
18:02,8:11
17:37,8:11
16:23,7:11
16:00,7:10
15:06,7:10
15:00,7:9
14:39,7:9
14:04,7:9
13:49,6:9
13:13,6:9
12:57,5:9
12:52,5:9
12:29,5:8
12:01,5:8
11:36,5:8
11:26,5:7
10:56,5:7
10:47,5:6
09:31,5:6
08:56,5:6
08:48,5:6
07:58,5:5
07:03,4:5
06:52,4:4
05:47,3:4
05:32,3:3
04:56,3:3
04:43,3:2
04:04,2:2
03:44,2:2
03:30,2:2
03:05,1:2
02:43,1:2
02:02,1:2
01:58,1:2
01:47,1:1
00:47,0:1
