timestamp,score
59:52,27:23
59:30,27:22
58:43,27:22
58:28,26:22
58:15,26:21
57:23,26:21
56:47,26:20
56:43,26:19
55:56,26:19
55:26,25:19
54:35,25:19
54:03,25:19
53:47,25:18
53:17,24:18
53:07,24:17
52:28,24:17
52:03,24:16
51:42,23:16
51:12,23:15
50:38,23:15
50:11,23:15
49:58,22:15
49:54,22:15
49:51,22:14
49:15,22:14
48:11,22:14
48:05,22:14
47:15,22:14
47:13,22:14
46:56,22:14
46:20,21:14
45:42,21:13
45:40,21:13
45:03,21:13
45:00,20:13
44:53,21:13
44:17,20:13
44:09,19:13
43:14,19:13
42:53,18:13
42:11,18:13
42:03,18:13
41:48,18:13
40:47,18:13
40:44,17:13
39:45,17:13
39:41,16:13
38:51,16:13
38:28,16:12
37:25,16:12
37:20,16:11
36:35,16:11
36:33,15:11
35:11,15:11
34:58,15:10
34:33,15:10
34:00,15:9
33:57,14:9
32:59,14:9
32:54,13:9
31:50,13:9
31:43,13:9
31:35,13:9
30:26,13:9
29:58,13:9
29:32,12:9
29:14,12:9
28:59,12:8
28:16,11:8
27:11,11:8
26:40,11:8
26:02,11:8
25:54,11:8
25:33,10:8
25:31,10:8
24:50,10:8
24:15,10:8
24:15,10:8
23:29,9:8
22:52,9:8
21:50,9:8
21:15,9:8
21:00,9:8
20:54,9:7
19:51,9:7
19:44,8:7
19:07,8:7
18:59,7:7
18:43,7:7
18:10,7:7
17:55,7:7
17:49,6:7
17:08,6:7
16:39,6:7
15:49,6:6
15:16,5:6
14:10,5:6
13:47,5:6
13:04,5:5
12:59,4:5
12:16,4:5
12:12,4:5
11:41,4:5
11:32,4:5
11:07,4:4
10:43,4:4
10:27,4:4
10:01,3:4
09:31,3:3
09:09,3:3
08:39,3:3
08:11,3:2
07:48,2:2
07:02,2:2
06:18,2:2
05:34,2:2
05:29,1:2
03:51,1:2
03:02,1:2
02:49,1:1
02:37,0:1
01:54,0:1
01:35,0:0
01:11,0:0
