timestamp,score
29:58,13:18
29:12,13:17
28:04,12:17
27:35,12:16
26:53,11:16
26:43,11:15
25:59,11:15
25:59,11:15
25:24,11:14
25:05,10:14
24:56,10:13
24:27,10:13
23:41,10:13
23:10,9:13
22:34,9:13
22:29,9:12
22:00,9:12
21:16,9:12
20:56,9:12
19:38,8:12
19:02,8:11
18:38,8:11
18:02,8:10
17:25,8:10
16:44,8:10
16:36,8:9
15:10,8:9
14:42,8:8
14:33,7:8
14:24,7:8
13:52,7:7
13:41,6:7
13:10,6:6
12:59,5:6
12:45,5:5
12:39,5:5
12:26,5:5
11:35,4:5
10:56,4:5
10:24,4:5
09:19,4:5
08:49,4:5
08:38,3:5
08:31,3:5
08:24,3:5
07:57,3:4
07:45,3:4
07:35,3:4
06:54,3:4
06:49,3:4
06:05,2:4
06:00,2:3
05:39,2:3
05:18,2:3
04:57,2:3
04:30,2:3
03:56,2:3
03:10,2:2
03:02,2:2
02:53,2:1
02:38,1:1
01:43,1:1
01:38,1:0
01:06,1:0
00:37,1:0
