timestamp,score
59:58,32:30
59:50,32:30
59:40,31:30
59:35,31:30
59:20,31:30
59:08,31:29
58:55,30:29
58:36,30:28
58:27,30:28
57:47,30:28
57:22,29:28
56:58,29:27
56:52,29:27
56:43,28:27
56:18,28:27
55:49,28:27
54:55,27:27
54:52,27:26
54:03,27:26
54:01,27:26
53:15,27:26
52:51,27:26
52:31,27:26
52:21,27:26
51:47,26:26
51:27,26:25
50:49,25:25
50:43,25:24
50:07,25:24
49:34,25:24
49:04,25:24
48:51,25:24
48:23,25:24
48:17,25:24
47:31,25:24
46:35,25:23
46:32,24:23
45:58,24:23
45:50,24:23
45:22,24:23
45:12,24:23
44:38,24:23
44:32,24:22
43:49,24:22
43:35,24:22
43:02,24:22
41:45,23:22
41:18,23:21
40:41,23:21
40:41,23:21
40:14,23:20
40:03,22:20
39:52,22:20
39:21,22:20
39:12,22:19
38:16,21:19
38:12,21:19
37:46,21:19
37:37,21:19
37:16,21:19
37:02,21:18
36:26,20:18
36:16,20:17
36:11,19:17
35:40,19:17
35:22,18:17
34:50,18:17
34:42,18:16
34:10,17:16
33:55,17:15
33:15,17:15
33:04,17:15
33:01,16:15
32:30,16:15
32:05,16:14
31:53,16:14
31:06,16:13
30:24,16:13
29:53,16:13
29:18,15:13
28:56,15:13
28:35,15:13
28:02,15:13
27:57,15:12
27:46,15:12
27:33,15:12
27:09,15:12
27:05,15:11
26:23,15:11
26:11,15:11
25:51,15:11
25:44,15:11
25:34,15:11
24:58,15:11
24:27,15:11
23:57,15:11
23:15,15:11
22:15,15:11
22:07,15:11
21:41,15:11
21:33,15:10
20:35,14:10
20:19,14:9
19:34,14:9
19:16,14:9
18:56,13:9
18:51,13:9
18:25,13:9
17:55,13:9
17:01,13:9
16:37,13:9
16:32,13:8
16:09,13:8
16:00,13:8
15:57,12:8
15:24,12:8
15:18,12:8
14:16,11:8
14:12,11:7
14:08,11:7
13:55,11:7
13:47,10:7
13:00,10:7
12:24,9:7
11:32,9:7
11:08,9:7
11:08,9:7
11:08,9:7
11:00,9:7
10:50,9:7
10:32,9:7
09:41,9:7
09:36,8:7
09:30,8:7
09:19,8:7
08:53,8:6
08:10,7:6
07:38,7:5
07:38,6:5
07:05,6:5
06:59,6:5
06:31,6:4
05:41,6:4
05:19,6:3
05:08,6:3
04:50,5:3
04:43,5:2
04:25,4:2
03:57,4:2
03:42,4:2
03:10,4:1
03:00,4:1
02:51,4:1
02:23,3:1
01:59,3:0
01:32,2:0
01:12,2:0
01:09,2:0
00:59,1:0
00:28,1:0
