timestamp,score
59:59,29:36
59:47,29:36
58:44,29:35
58:29,29:35
58:06,29:35
58:01,29:34
57:15,29:34
55:51,28:34
55:17,27:34
54:39,27:34
53:49,27:34
53:03,27:34
52:43,27:33
52:16,27:33
52:14,27:33
51:49,27:32
51:43,27:32
51:13,27:32
49:57,27:32
49:37,27:31
49:28,27:31
48:33,27:31
48:17,27:31
48:08,27:31
47:40,27:31
47:35,27:31
47:27,27:30
47:00,27:30
46:05,27:30
45:28,27:30
44:49,26:30
44:38,25:30
44:31,25:29
43:57,25:29
43:31,25:29
43:12,24:29
42:52,24:28
42:38,24:28
42:02,24:27
41:29,23:27
40:23,23:27
40:18,23:26
39:50,23:26
39:42,23:26
39:07,22:26
38:44,22:25
38:02,21:25
37:47,21:25
37:42,20:25
37:35,20:25
37:35,20:25
37:08,20:25
36:27,19:25
35:57,19:24
35:50,19:24
35:26,19:24
34:08,19:24
33:33,19:23
33:09,19:22
32:33,18:22
32:25,18:21
31:46,18:21
31:36,18:20
30:44,18:20
30:23,18:20
29:36,18:20
29:34,17:20
29:02,17:20
29:00,16:20
28:49,16:20
28:24,16:19
27:55,16:19
27:45,16:18
27:26,15:18
27:05,15:18
27:00,15:18
26:25,15:18
25:32,15:17
25:18,14:17
24:32,14:16
24:06,13:16
23:31,13:16
23:01,13:16
22:57,13:15
22:13,13:15
21:52,12:15
21:08,12:14
20:28,11:14
20:19,11:14
19:26,11:14
19:18,11:14
18:38,11:14
17:06,11:14
16:34,11:14
16:26,10:14
15:30,10:14
14:38,9:14
14:11,9:13
13:34,9:13
13:18,9:12
13:03,8:12
12:13,8:11
11:29,7:11
11:23,7:11
11:15,7:10
10:50,7:10
10:37,7:9
10:11,7:9
10:01,6:9
09:29,6:9
08:51,5:9
08:43,5:8
08:27,5:8
07:58,5:8
07:24,4:8
07:20,4:7
07:12,4:7
06:47,4:7
06:10,4:7
05:48,4:6
05:38,4:6
05:27,3:6
05:16,3:6
04:23,2:6
04:17,2:5
04:04,2:5
03:39,2:4
03:30,2:4
02:56,1:4
02:48,1:3
02:37,1:3
02:31,1:2
01:40,1:2
01:21,1:2
01:12,1:1
00:44,0:1
00:30,0:0
