18_11_,18_09_,19_01_,19_02_,18_12_,18_10_,19_04_,19_03_,Average Performance (Whole Season),Median Performance (Whole Season),time
-0.6666666666666666,0.125,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.05729166666666667,0.05729166666666667,1
-0.7208333333333333,0.8499999999999999,0.5888888888888889,-0.7666666666666666,0.5888888888888889,0.17777777777777778,-0.325,0.75,0.14288194444444444,0.17777777777777778,2
-0.8333333333333334,1.75,0.7083333333333333,-1.1666666666666667,1.0833333333333335,0.16666666666666666,-0.6666666666666666,0.7416666666666667,0.22291666666666665,0.22291666666666665,3
-1.0833333333333335,2.083333333333333,0.5,-1.8333333333333333,1.8333333333333333,0.0,-1.0,0.6666666666666666,0.1458333333333333,0.1458333333333333,4
-1.5,2.6666666666666665,0.25,-2.5,2.7,-0.3333333333333333,-1.5,0.75,0.06666666666666665,0.06666666666666665,5
-2.0,3.5,-0.1111111111111111,-2.5,3.0,-0.5555555555555555,-1.9166666666666665,1.111111111111111,0.06597222222222224,-0.1111111111111111,6
-2.3333333333333335,3.916666666666667,-0.5416666666666666,-2.5,2.75,-0.611111111111111,-2.4166666666666665,1.4166666666666667,-0.0399305555555555,-0.5416666666666666,7
-2.5,4.0,-1.25,-2.388888888888889,2.9999999999999996,-0.16666666666666666,-2.9444444444444446,0.25,-0.25000000000000006,-0.25000000000000006,8
-2.6666666666666665,4.166666666666667,-2.0,-2.9,3.25,0.0,-3.2,-0.9166666666666667,-0.5333333333333334,-0.9166666666666667,9
-2.1666666666666665,4.5,-2.583333333333333,-3.611111111111111,3.25,0.5999999999999999,-4.0,-1.125,-0.6420138888888889,-1.125,10
-1.75,4.958333333333333,-3.166666666666667,-4.083333333333334,2.8888888888888893,0.6666666666666666,-5.055555555555556,-1.25,-0.8489583333333335,-1.25,11
-1.4166666666666665,5.0,-3.6666666666666665,-4.166666666666667,2.9166666666666665,0.6666666666666666,-6.166666666666666,-1.3333333333333333,-1.0208333333333333,-1.3333333333333333,12
-1.1666666666666667,4.833333333333333,-4.166666666666667,-3.8333333333333335,3.5,0.5,-6.833333333333333,-1.1111111111111112,-1.0347222222222223,-1.1111111111111112,13
-0.9166666666666667,4.791666666666666,-4.083333333333334,-3.583333333333333,3.6666666666666665,0.3333333333333333,-6.583333333333334,-1.0555555555555556,-0.9288194444444446,-0.9288194444444446,14
-1.0,4.833333333333333,-3.8333333333333335,-2.8333333333333335,3.916666666666667,0.05555555555555555,-6.5,-1.5,-0.857638888888889,-1.0,15
-1.4166666666666667,4.888888888888888,-3.8333333333333335,-2.3333333333333335,4.0,0.3333333333333333,-6.833333333333333,-1.8333333333333333,-0.8784722222222223,-1.4166666666666667,16
-2.0,4.75,-4.166666666666667,-2.1666666666666665,3.916666666666667,0.5,-7.4444444444444455,-1.5,-1.0138888888888893,-1.5,17
-2.1666666666666665,4.416666666666666,-4.5,-2.388888888888889,3.5,0.3333333333333333,-7.833333333333333,-1.5555555555555556,-1.2743055555555556,-1.5555555555555556,18
-2.3333333333333335,4.222222222222222,-4.5,-3.277777777777778,3.0555555555555554,0.25,-8.0,-2.25,-1.6041666666666667,-2.25,19
-2.3333333333333335,4.166666666666667,-4.666666666666667,-3.375,2.8333333333333335,0.6666666666666666,-8.166666666666666,-3.708333333333333,-1.8229166666666667,-2.3333333333333335,20
-2.083333333333333,4.000000000000001,-5.375,-3.0,2.6666666666666665,0.6666666666666666,-8.25,-4.833333333333334,-2.0260416666666665,-2.083333333333333,21
-2.0,3.444444444444444,-5.75,-3.0,2.5,0.41666666666666663,-8.416666666666668,-5.333333333333333,-2.267361111111111,-2.267361111111111,22
-2.0,2.666666666666667,-6.166666666666667,-3.1666666666666665,2.583333333333333,0.0,-8.75,-5.833333333333333,-2.5833333333333335,-2.5833333333333335,23
-2.25,1.7777777777777777,-7.0,-3.222222222222222,2.6111111111111107,-0.41666666666666663,-9.333333333333332,-6.083333333333334,-2.989583333333333,-2.989583333333333,24
-2.5,0.8333333333333333,-7.416666666666666,-3.25,2.6666666666666665,-1.111111111111111,-10.166666666666668,-6.666666666666666,-3.4513888888888893,-3.25,25
-2.75,1.3877787807814457e-17,-7.5,-3.666666666666667,2.6666666666666665,-1.5833333333333335,-10.666666666666666,-7.333333333333334,-3.854166666666667,-3.666666666666667,26
-3.0,-0.5,-7.75,-4.6,2.777777777777778,-1.8333333333333333,-11.277777777777779,-8.708333333333334,-4.361458333333333,-4.361458333333333,27
-3.3333333333333335,-0.8,-7.533333333333333,-4.722222222222222,3.0,-1.9444444444444444,-11.958333333333332,-9.666666666666666,-4.619791666666666,-4.619791666666666,28
-3.75,-0.5,-7.5,-4.666666666666667,3.222222222222222,-1.8333333333333333,-12.416666666666668,-10.125,-4.696180555555555,-4.666666666666667,29
-4.166666666666667,-0.5666666666666667,-8.208333333333334,-4.833333333333333,2.6666666666666665,-2.0,-12.777777777777779,-10.666666666666668,-5.069097222222222,-4.833333333333333,30
-4.5,-0.611111111111111,-8.75,-5.083333333333334,2.3333333333333335,-3.0555555555555554,-13.333333333333334,-11.083333333333332,-5.510416666666666,-5.083333333333334,31
