timestamp,score
59:58,28:26
59:33,28:26
59:08,28:26
58:56,28:26
58:32,27:26
58:13,27:25
58:10,27:25
57:57,27:25
56:51,27:24
56:41,26:24
56:36,26:23
56:06,26:23
55:45,26:23
55:32,26:23
55:03,26:23
54:28,26:23
54:22,25:23
53:51,25:23
52:46,24:23
51:55,24:23
51:14,23:23
50:26,23:22
49:46,23:22
48:49,23:22
48:44,22:22
48:34,22:22
47:28,22:22
47:18,21:22
47:06,21:21
46:56,20:21
46:20,20:21
45:50,20:21
45:39,20:20
45:05,19:20
44:52,19:20
44:21,19:20
43:03,19:19
42:29,19:19
41:53,19:18
41:35,19:18
41:25,18:18
40:56,17:18
40:48,17:17
40:18,16:17
40:14,16:16
39:48,16:16
39:27,16:16
38:54,16:16
38:11,16:16
37:54,16:15
37:35,16:15
37:30,16:14
36:46,16:14
36:41,16:14
36:04,16:14
36:01,15:14
35:54,15:14
35:16,15:14
34:57,15:14
34:28,15:13
33:53,14:13
33:22,14:13
32:49,13:13
32:38,13:13
32:06,13:13
31:57,13:13
31:50,13:13
31:08,13:13
30:47,13:13
30:40,13:13
30:00,13:13
29:58,13:13
29:38,13:13
29:28,13:13
29:08,13:13
29:05,13:13
28:27,13:13
28:11,13:12
27:29,13:12
26:56,12:12
26:52,12:11
26:26,11:11
26:20,11:11
25:57,11:11
25:43,11:10
25:14,11:10
24:57,11:10
24:19,11:10
23:49,10:10
22:52,10:10
22:04,10:10
21:58,10:10
21:12,10:10
21:06,10:9
20:47,9:9
20:43,9:8
20:13,9:8
19:50,9:8
19:48,9:8
19:03,9:8
18:21,9:8
17:43,8:8
16:33,8:8
15:16,8:8
14:29,8:7
14:09,8:7
12:58,8:6
12:54,8:6
12:17,7:6
11:54,7:6
11:46,7:6
11:02,7:6
10:56,6:6
10:08,6:6
09:57,6:6
09:13,6:5
09:06,5:5
08:30,5:5
08:26,4:5
07:52,4:5
07:45,4:5
07:32,4:5
07:24,4:5
06:51,4:4
06:16,3:4
06:06,3:4
05:37,2:4
05:24,2:4
05:00,2:3
04:39,1:3
04:08,1:3
03:55,1:3
03:38,1:2
03:05,1:2
03:01,1:2
02:52,1:1
02:30,1:1
02:17,1:1
01:25,1:0
00:53,0:0
00:44,0:0
