timestamp,score
60:00,31:32
59:49,31:32
59:33,31:32
58:43,31:31
58:13,30:31
57:41,30:31
57:29,29:31
56:59,29:30
56:50,28:30
56:40,28:30
56:05,28:30
55:56,27:30
55:26,27:29
55:00,27:29
54:49,27:29
54:22,27:29
54:15,27:29
54:04,27:29
53:04,27:29
52:59,27:28
52:30,27:28
51:54,27:27
50:33,26:27
49:59,26:27
49:51,25:27
49:16,25:27
49:01,24:27
48:10,24:27
48:02,24:26
47:30,24:26
47:20,24:25
46:43,24:25
46:39,24:24
46:12,24:24
46:03,24:23
45:19,24:23
44:51,24:22
44:22,24:22
44:14,23:22
43:42,23:22
43:16,22:22
42:52,22:21
42:44,22:21
42:32,22:21
41:56,22:21
41:30,22:20
41:03,21:20
40:54,20:20
40:29,20:20
39:43,20:20
39:33,20:20
39:24,20:20
39:11,20:20
39:08,20:20
38:57,20:20
38:25,20:20
38:17,20:19
37:00,20:19
36:08,19:19
36:02,19:19
35:51,19:19
35:17,19:18
35:13,18:18
34:43,18:18
34:35,18:18
33:53,18:17
33:45,18:17
33:30,18:17
33:16,18:17
32:18,17:17
32:08,17:17
31:30,17:17
31:07,16:17
30:51,16:17
30:33,16:17
30:24,16:17
29:36,16:17
29:06,16:17
28:37,16:16
27:59,15:16
27:59,15:16
27:18,14:16
27:13,14:15
26:12,14:15
26:00,14:14
25:28,14:14
25:01,14:13
24:53,13:13
24:24,13:13
24:24,13:13
24:24,13:13
23:56,12:13
23:55,12:13
23:22,12:12
23:14,12:12
21:50,12:12
21:05,11:12
20:41,11:11
20:09,11:11
19:17,10:11
19:11,10:10
18:46,10:10
18:38,9:10
18:29,9:10
17:30,9:10
16:59,9:10
16:41,9:10
16:06,9:10
15:50,9:10
15:30,9:10
15:04,9:9
14:38,8:9
14:32,8:9
14:04,8:8
13:43,7:8
13:09,7:8
12:20,6:8
11:58,6:8
11:44,5:8
11:14,5:8
10:54,5:7
10:54,5:7
10:20,5:7
10:09,4:7
10:03,4:7
09:36,4:7
09:28,4:7
09:13,4:7
08:34,3:7
08:34,3:6
08:19,3:6
08:00,2:6
07:50,2:5
07:19,2:5
06:49,2:4
06:05,2:4
06:00,2:3
05:08,2:3
04:21,1:3
04:11,1:3
03:54,1:2
03:30,1:2
02:54,1:2
02:17,1:2
01:40,1:1
01:34,0:1
01:20,0:0
00:50,0:0
