20_08_,20_10_,21_05_,21_04_,20_09_,Average Performance (Whole Season),Median Performance (Whole Season),time
-0.125,0.3333333333333333,-1.0,-0.8541666666666666,0.0,-0.3291666666666667,-0.22708333333333336,1
-0.45,0.45,-1.0,-1.2916666666666665,0.0,-0.4583333333333333,-0.45416666666666666,2
-0.7,0.5555555555555555,-0.8333333333333334,-1.25,0.0,-0.4455555555555556,-0.5727777777777778,3
-0.25,0.8333333333333334,-0.8333333333333334,-1.3333333333333333,-0.16666666666666666,-0.35,-0.3,4
0.0,0.8333333333333334,-1.0,-1.6666666666666667,0.05555555555555555,-0.35555555555555557,-0.17777777777777778,5
0.16666666666666666,0.8333333333333334,-1.25,-2.166666666666667,0.16666666666666666,-0.45000000000000007,-0.14166666666666672,6
0.16666666666666666,0.6666666666666666,-1.75,-2.833333333333333,-0.3333333333333333,-0.8166666666666667,-0.575,7
0.375,-0.11111111111111112,-1.9166666666666665,-3.3333333333333335,-0.75,-1.1472222222222221,-0.9486111111111111,8
0.25,-1.1666666666666665,-1.8333333333333333,-3.6666666666666665,-1.0,-1.4833333333333332,-1.3249999999999997,9
-0.875,-1.6666666666666667,-1.5,-3.8333333333333335,-1.3333333333333335,-1.8416666666666668,-1.5833333333333335,10
-0.75,-2.1666666666666665,-1.0833333333333335,-4.0,-2.166666666666667,-2.0333333333333337,-2.1,11
-0.27777777777777773,-2.5555555555555554,-0.5000000000000001,-4.25,-2.8333333333333335,-2.083333333333333,-2.319444444444444,12
-0.16666666666666666,-2.6111111111111107,0.16666666666666666,-4.5,-3.0,-2.022222222222222,-2.3166666666666664,13
-0.16666666666666666,-2.6111111111111107,0.8333333333333334,-4.5,-3.25,-1.9388888888888887,-2.2749999999999995,14
-0.3333333333333333,-2.75,1.0833333333333335,-4.375,-3.833333333333333,-2.0416666666666665,-2.395833333333333,15
-0.3333333333333333,-3.0,1.25,-4.0,-4.416666666666666,-2.1,-2.55,16
-0.16666666666666666,-3.25,1.5,-4.0,-4.416666666666666,-2.0666666666666664,-2.658333333333333,17
0.25,-3.3333333333333335,1.125,-4.055555555555556,-3.833333333333333,-1.9694444444444443,-2.651388888888889,18
0.3333333333333333,-3.3333333333333335,0.8333333333333334,-4.25,-3.3333333333333335,-1.95,-2.6416666666666666,19
0.3333333333333333,-3.277777777777778,1.0,-4.666666666666667,-2.916666666666667,-1.9055555555555557,-2.4111111111111114,20
0.16666666666666666,-3.6666666666666665,1.5000000000000002,-4.916666666666666,-2.5833333333333335,-1.9,-2.2416666666666667,21
-0.38095238095238093,-3.916666666666667,1.8333333333333333,-5.0,-2.5,-1.992857142857143,-2.2464285714285714,22
-0.6666666666666666,-3.6666666666666665,1.9166666666666665,-4.916666666666666,-2.5,-1.9666666666666663,-2.2333333333333334,23
-0.7777777777777777,-3.416666666666667,2.3333333333333335,-4.583333333333334,-2.5,-1.788888888888889,-2.1444444444444444,24
-1.2777777777777777,-2.944444444444444,2.6666666666666665,-4.333333333333333,-2.5,-1.6777777777777776,-2.0888888888888886,25
-1.6666666666666667,-2.333333333333333,3.3333333333333335,-4.041666666666667,-2.3750000000000004,-1.4166666666666667,-2.0,26
-1.8333333333333333,-2.0,3.5,-4.0,-2.5,-1.3666666666666667,-1.9166666666666665,27
-2.25,-2.1666666666666665,3.5,-4.0,-2.722222222222222,-1.5277777777777775,-2.208333333333333,28
-2.583333333333333,-2.583333333333333,3.3333333333333335,-3.8888888888888893,-3.416666666666667,-1.827777777777778,-2.583333333333333,29
-3.1666666666666665,-3.1666666666666665,3.1666666666666665,-3.6666666666666665,-4.166666666666667,-2.2,-3.1666666666666665,30
-3.5,-3.5,3.1666666666666665,-3.5,-4.833333333333334,-2.4333333333333336,-3.5,31
-3.777777777777778,-3.583333333333333,3.3333333333333335,-2.8333333333333335,-5.5,-2.4722222222222223,-3.208333333333333,32
-3.6666666666666665,-3.8333333333333335,3.5555555555555554,-2.0,-6.666666666666667,-2.522222222222222,-3.094444444444444,33
-3.5,-4.0,3.583333333333333,-1.6666666666666667,-7.333333333333333,-2.5833333333333335,-3.041666666666667,34
-3.583333333333333,-4.25,3.722222222222222,-0.6458333333333334,-7.25,-2.4013888888888886,-2.992361111111111,35
-4.333333333333333,-5.125,4.083333333333334,-0.5555555555555555,-7.166666666666667,-2.6194444444444445,-3.4763888888888888,36
-4.722222222222222,-5.666666666666667,4.166666666666667,-1.3333333333333335,-7.625,-3.036111111111111,-3.8791666666666664,37
-4.55,-5.666666666666667,4.166666666666667,-1.5,-8.333333333333334,-3.1766666666666667,-3.8633333333333333,38
,-5.833333333333333,3.9444444444444446,-1.6666666666666667,-8.5,-3.013888888888889,-3.013888888888889,39
