21_09_,21_08_,Average Performance (Whole Season),Median Performance (Whole Season),time
1.3333333333333333,-1.0666666666666667,0.1333333333333333,0.1333333333333333,1
1.225,-1.3333333333333333,-0.054166666666666585,-0.054166666666666585,2
1.1666666666666667,-1.8333333333333335,-0.33333333333333337,-0.33333333333333337,3
1.1666666666666667,-2.277777777777778,-0.5555555555555557,-0.5555555555555557,4
1.1666666666666667,-2.5,-0.6666666666666666,-0.6666666666666666,5
1.0000000000000002,-2.583333333333333,-0.7916666666666664,-0.7916666666666664,6
0.75,-3.0,-1.125,-1.125,7
1.0,-3.5,-1.25,-1.25,8
1.5833333333333335,-3.8888888888888893,-1.152777777777778,-1.152777777777778,9
1.5,-3.583333333333333,-1.0416666666666665,-1.0416666666666665,10
1.3333333333333333,-3.5416666666666665,-1.1041666666666665,-1.1041666666666665,11
1.0,-3.7083333333333335,-1.3541666666666667,-1.3541666666666667,12
0.5833333333333333,-3.3333333333333335,-1.375,-1.375,13
0.25,-3.1666666666666665,-1.4583333333333333,-1.4583333333333333,14
0.0,-3.5,-1.75,-1.75,15
0.0,-4.333333333333333,-2.1666666666666665,-2.1666666666666665,16
-0.16666666666666666,-4.833333333333333,-2.5,-2.5,17
-0.5,-4.916666666666666,-2.708333333333333,-2.708333333333333,18
-0.8333333333333334,-4.666666666666667,-2.75,-2.75,19
-1.3333333333333335,-4.766666666666667,-3.05,-3.05,20
-1.6666666666666667,-5.0,-3.3333333333333335,-3.3333333333333335,21
-1.6111111111111114,-5.0,-3.305555555555556,-3.305555555555556,22
-1.1666666666666665,-4.916666666666666,-3.041666666666666,-3.041666666666666,23
-0.6666666666666666,-4.833333333333333,-2.75,-2.75,24
-0.41666666666666663,-5.166666666666667,-2.791666666666667,-2.791666666666667,25
-0.08333333333333333,-5.333333333333333,-2.708333333333333,-2.708333333333333,26
0.0,-5.333333333333333,-2.6666666666666665,-2.6666666666666665,27
-0.16666666666666666,-5.333333333333333,-2.75,-2.75,28
-0.6666666666666666,-5.583333333333334,-3.1250000000000004,-3.1250000000000004,29
-1.611111111111111,-6.333333333333333,-3.972222222222222,-3.972222222222222,30
-1.8333333333333333,-7.0,-4.416666666666667,-4.416666666666667,31
-1.4166666666666667,-7.5,-4.458333333333333,-4.458333333333333,32
-0.9166666666666667,-8.333333333333334,-4.625,-4.625,33
-0.6666666666666666,-8.944444444444445,-4.805555555555555,-4.805555555555555,34
-0.9166666666666667,-9.166666666666666,-5.041666666666666,-5.041666666666666,35
-0.8333333333333334,-10.291666666666666,-5.5625,-5.5625,36
-0.6666666666666666,-11.833333333333334,-6.25,-6.25,37
-0.611111111111111,-13.041666666666666,-6.826388888888888,-6.826388888888888,38
-0.16666666666666666,-13.916666666666668,-7.041666666666667,-7.041666666666667,39
0.5,-14.25,-6.875,-6.875,40
1.3333333333333335,,1.3333333333333335,1.3333333333333335,41
1.5833333333333335,,1.5833333333333335,1.5833333333333335,42
1.6666666666666667,,1.6666666666666667,1.6666666666666667,43
1.75,,1.75,1.75,44
2.5,,2.5,2.5,45
3.1666666666666665,,3.1666666666666665,3.1666666666666665,46
3.666666666666667,,3.666666666666667,3.666666666666667,47
4.166666666666667,,4.166666666666667,4.166666666666667,48
4.333333333333333,,4.333333333333333,4.333333333333333,49
4.833333333333333,,4.833333333333333,4.833333333333333,50
5.166666666666667,,5.166666666666667,5.166666666666667,51
5.5,,5.5,5.5,52
5.666666666666667,,5.666666666666667,5.666666666666667,53
5.5,,5.5,5.5,54
5.325,,5.325,5.325,55
