Sa,29.02.20,17:00
MNLA
Wacker,Thun
SPIELER,TORE,7M,%,TF,V,2',D
2,Holm,Phillip,5/7,3/3,71,1,0,0,0
3,Linder,Luca,2/2,0,100,,0,0,0
4,Felder,Gabriel,0,0,,,0,0,0
6,Dähler,Jonas,4/7,0,57,2,0,0,0
7,Suter,Nicolas,5/6,0,83,2,0,1,0
9,Schwab,Yannick,0,0,,,0,0,0
10,Lanz,Thomas,5/5,0,100,1,0,0,0
11,Wyttenbach,Ivan,1/3,0/2,33,,0,0,0
13,Friedli,Reto,1/1,0,100,,0,0,0
14,Lüthi,Dario,1/2,0,50,1,0,0,0
16,Winkler,Marc,0,0,,,0,0,0
17,Guignet,Damien,4/7,0,57,1,1,0,0
19,Huwyler,Stefan,1/2,0,50,,1,0,0
20,Haas,Noah,0,0,,,0,0,0
23,Wick,Flavio,0,0,,,0,0,0
""
TORHÜTER,P/W,7M,%
16,Winkler,Marc,9/30,0/2,30
23,Wick,Flavio,1/2,1/2,50
""
STAFF,V,2',D
A,Rubin,Martin,0,0,0
B,Badertscher,Remo,0,0,0
C,Blaser,Marc,0,0,0
D,Taubenheim,André,0,0,0
