KADER,TORE,7M,%,TF,V,2',D
LINDER Luca,2/2,0,100,,0,0,0
FELDER Gabriel,2/4,0,50,2,0,2,0
DÄHLER Jonas,0/1,0,0,1,1,0,0
SORGEN Janick,1/1,0,100,1,0,0,0
LÜTHI Dario,0,0,,,0,0,0
DANNMEYER Max,1/4,0,25,,0,0,0
VON DESCHWANDEN Lukas,9/14,0,64,3,0,0,0
WINKLER Marc,0,0,,,0,0,0
GUIGNET Damien,2/2,0,100,,0,0,0
SCHWAB Yannick,1/1,0,100,1,0,0,0
HUWYLER Stefan,0,0,,,1,0,0
MANSE Cedric,1/2,0,50,2,0,1,0
GRUBER Nino,1/1,0,100,,0,0,0
CHERNOV Ivan,4/6,0,66,1,0,0,0
WICK Flavio,0/1,0,0,,0,0,0
DELHEES Ron,4/6,0,66,1,0,1,0
