KADER,TORE,7M,%,TF,V,2',D
LEUENBERGER Timon,0,0,,,0,0,0
LIECHTI Björn,0,0,,,0,1,0
LÜTHI Flurin,2/3,0,66,,0,0,0
Caviezel Tim,0,0,,,0,0,0
DÄHLER Nicolas,0/1,0,0,,0,0,0
KARLEN Laurent,3/5,0,60,2,0,0,0
Knöri Niklas,0/2,0,0,1,0,1,0
Lehmann David,0,0,,,0,0,0
HAUDENSCHILD Luis,0,0,,,0,0,0
Sommer Luca,0,0,,,0,0,0
Caspar Simon,1/1,0,100,,0,0,0
FREI Mael,0,0,,,0,1,0
FRISCHKNECHT Lasse,0/3,0,0,2,0,0,0
Hodler Fynn,0/2,0,0,1,0,0,0
Waber Gian,0,0,,,0,0,0
Jenni Cédric,0,0,,,0,0,0
NEIGER Dominic,2/5,2/2,40,3,0,0,0
Strikcani Artan,0/3,0,0,1,0,0,0
Marthaler Ivan,1/1,1/1,100,5,0,0,0
