playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Baumann Yanic Simon,SG LakeSide Wacker-Steffisburg,19,9.6,5,10,0
Jelecevic Sanel,SG Füchse Emmenbrücke/ Stans,18,8.5,8,7,0
Lüthi Timo,BSV Future Bern,18,7.4,5,5,0
Hrachovec David,Kadetten Schaffhausen,14,8.6,7,8,0
Lioi Alessio,Pfadi Winterthur,16,7.3,1,3,0
Sostizzo Aurel,SG Fortitudo Gossau,14,7.6,3,12,1
Honegger Luc,Handball Stäfa,15,7,2,4,0
Bolleter Oliver,SG OHA,16,6.6,0,0,0
Römer Flavian,SG LakeSide Wacker-Steffisburg,18,5.4,5,11,0
Mattioli Mauro,SG Fortitudo Gossau,17,5.6,5,7,0
Bänninger Nico,GC Amicitia Zürich,17,5.4,2,5,1
Gerber Moritz Niklaus,BSV Future Bern,18,5,7,17,0
Rutz Jerome,SG Fortitudo Gossau,17,5.2,1,1,0
Mau Felix,SG Pilatus,17,4.9,6,10,0
Keller Jonas,Kadetten Schaffhausen,13,6.3,2,5,0
Lang Devin,SG Pilatus,18,4.5,4,6,0
Inderbitzin Franco,SG Füchse Emmenbrücke/ Stans,18,4.4,0,2,0
Meister Elia,HSG Nordwest,14,5.5,6,1,0
Klos Fabian,Pfadi Winterthur,14,5.4,6,9,1
Besek Gilles Aimé,GC Amicitia Zürich,16,4.6,4,5,0
Herbil Casian,SG Füchse Emmenbrücke/ Stans,18,4.1,6,8,0
Röttges Finley,SG Pilatus,17,4.2,7,12,0
Zimmermann Robin,GC Amicitia Zürich,11,6.2,2,7,0
Kürsteiner Justin,SG OHA,14,4.6,3,5,0
John Nelio,HSG Nordwest,18,3.6,3,3,0
Müller Manuel,GC Amicitia Zürich,17,3.7,8,11,0
Ruh Dominik,Pfadi Winterthur,17,3.7,4,6,0
Aragón Brenner Levin Rubén,Kadetten Schaffhausen,17,3.6,5,1,0
Külling Mirco,HSC Suhr Aarau,17,3.5,8,10,0
Bodenstein Maximilian,BSV Future Bern,16,3.7,7,7,0
Kreuzer Finn,HSC Suhr Aarau,19,3.1,6,3,0
Zeller Leander,Handball Stäfa,13,4.5,6,9,0
Manias Nando,SG OHA,19,3.1,7,9,0
Inderbitzin Carlo,SG Füchse Emmenbrücke/ Stans,18,3.1,8,11,0
Schoch Florin,Pfadi Winterthur,18,3.1,7,12,0
Sigrist Nicola,SG Pilatus,18,3,4,4,0
Willecke Joël,HSC Suhr Aarau,16,3.3,12,12,1
Tarneller Elia Davide,Kadetten Schaffhausen,19,2.8,9,7,1
Mai Martin,SG Pilatus,14,3.7,1,1,0
Beeli Louis Theo,GC Amicitia Zürich,17,3.1,6,5,0
Wespi Tim,HSG Nordwest,14,3.6,6,0,0
Hohl Roman,GC Amicitia Zürich,17,3,2,1,0
Meier Lars Andreas,Handball Stäfa,17,3,6,7,0
Kiener Nils,SG LakeSide Wacker-Steffisburg,19,2.7,3,5,0
Sarlos Nikos,HSC Suhr Aarau,14,3.6,1,3,0
Stettler Luc Eric,SG LakeSide Wacker-Steffisburg,16,3.1,7,10,0
Latzer Nick,Pfadi Winterthur,18,2.8,6,5,0
Pantelic Nikola,HSC Suhr Aarau,15,3.3,5,3,0
Pelosi Stefano,SG Füchse Emmenbrücke/ Stans,18,2.7,3,5,0
Berisha Ardin,BSV Future Bern,17,2.7,2,8,0
Brülisauer Jan,SG Fortitudo Gossau,17,2.7,10,22,0
Bucher Leon,HSC Suhr Aarau,10,4.5,0,2,0
Dzafic Mak,SG Füchse Emmenbrücke/ Stans,18,2.5,6,14,0
Tobler-Larocque Maël,BSV Future Bern,17,2.6,5,7,0
Walser Raffael Simon,SG OHA,19,2.3,5,2,0
Martis Linard,Handball Stäfa,13,3.3,5,3,0
Kaufmann Fabrizio,Handball Stäfa,17,2.5,8,1,0
Hofmann Simon Felix,SG OHA,19,2.3,2,3,0
Furrer Tassilo,SG OHA,16,2.6,1,1,0
Kull Fabio,HSG Nordwest,15,2.7,4,7,0
Tellenbach Nils,Pfadi Winterthur,17,2.4,10,3,0
Schweizer Micha,SG LakeSide Wacker-Steffisburg,19,2.2,9,7,0
Moussa Samer,SG OHA,17,2.2,5,13,0
Spirgi Finn,Kadetten Schaffhausen,18,2.1,4,4,0
Kovacevic Matteo,SG Pilatus,17,2.2,5,7,0
Huber Janis,HSC Suhr Aarau,14,2.5,3,4,0
Mauch Jona Willi,Kadetten Schaffhausen,19,1.8,5,5,0
Köder Maxim David Alexander,GC Amicitia Zürich,17,2,3,8,0
Gysin Pascal,SG Pilatus,16,2.1,11,16,1
Gourlaouen Pierrick Jacques Henri,BSV Future Bern,13,2.5,6,8,0
Rügge Silvan Claudio,SG Fortitudo Gossau,14,2.3,3,5,0
Manser Raffael,SG Fortitudo Gossau,7,4.4,4,3,0
Hadzic Tarik,HSG Nordwest,16,1.9,6,7,0
Christ Niels,HSG Nordwest,17,1.8,1,0,0
Mores Marco,Handball Stäfa,17,1.8,3,1,0
Romer Mischa,Pfadi Winterthur,12,2.5,3,3,0
Zeller Fabian,Kadetten Schaffhausen,12,2.5,3,2,0
Meyer Matthias,BSV Future Bern,9,3.1,2,1,0
Wiederkehr Janis,HSC Suhr Aarau,16,1.8,0,1,0
Zumstein Michel Yannic,BSV Future Bern,16,1.8,6,2,0
Gassmann Tim,HSG Nordwest,18,1.6,8,25,0
Plüss Thierry Lionardo Bonaventura,SG LakeSide Wacker-Steffisburg,18,1.6,6,14,0
Bühler Raffael Josef,HSG Nordwest,12,2.3,4,6,0
Steffen Elia,HSG Nordwest,12,2.3,0,3,0
Spörndli Gian,Handball Stäfa,17,1.6,0,2,0
Schumacher Jan,HSC Suhr Aarau,18,1.5,7,4,0
Roth Alexander,SG LakeSide Wacker-Steffisburg,19,1.4,6,6,0
Wolfisberg Valentin,SG Pilatus,16,1.6,2,3,0
Steenaerts Gino,SG Pilatus,10,2.5,2,0,0
Pietrek Moritz,HSG Nordwest,17,1.5,0,0,0
Gnehm Timon,HSC Suhr Aarau,7,3.4,0,3,0
Marschke Paul Tilo,SG OHA,11,2.2,2,2,0
Beer Ramon,Handball Stäfa,16,1.5,0,3,0
Grunder Tobias,BSV Future Bern,16,1.5,3,4,0
Rütsche Jan Patrick,SG OHA,19,1.3,3,2,0
Tschanz Noah Tim,Pfadi Winterthur,13,1.8,1,1,0
Lagler Emil,Kadetten Schaffhausen,15,1.5,0,1,0
Schleich Lorin Tim,SG Füchse Emmenbrücke/ Stans,18,1.3,1,1,0
Eichholzer Fadri,Handball Stäfa,10,2.2,2,1,0
Wanner Levin,Pfadi Winterthur,11,2,1,3,0
Targise Giuliano,SG LakeSide Wacker-Steffisburg,16,1.4,0,2,0
Wiedmer Gian,HSC Suhr Aarau,16,1.4,1,1,0
Heidrich Luca,Kadetten Schaffhausen,17,1.3,5,11,0
Baumann Tazio,Pfadi Winterthur,10,2.1,0,3,0
Pintarelli Cedric,SG Fortitudo Gossau,17,1.2,5,1,0
Scorrano Tiziano,SG Pilatus,14,1.4,2,2,0
Rüedi Lukas,Handball Stäfa,17,1.2,1,1,0
Latzer Timon,SG OHA,18,1.1,7,6,0
Senn Jovin Jil,SG Füchse Emmenbrücke/ Stans,18,1.1,7,7,0
Römer Leandro Maurin,SG LakeSide Wacker-Steffisburg,19,1,4,11,0
Litscher Can,Kadetten Schaffhausen,12,1.5,2,4,0
Wilhelm Jonas,HSC Suhr Aarau,13,1.4,2,0,0
Conscience Cyrill,SG Fortitudo Gossau,14,1.3,0,1,0
Giudici Matteo Lukasz,Kadetten Schaffhausen,15,1.2,3,3,0
Dubi Nico,HSC Suhr Aarau,7,2.4,0,1,0
Bagger Kristoffer Aavad,HSG Nordwest,13,1.3,2,2,0
Avduli Sejdin,Pfadi Winterthur,16,1.1,2,6,0
Sigrist Luca,SG Pilatus,6,2.7,0,1,0
Ochsner Delian,SG Fortitudo Gossau,16,1,1,1,0
Annen Tim,SG Pilatus,10,1.5,1,5,0
Iloski Christian,GC Amicitia Zürich,15,1,0,0,0
Segales Föllmi Jomil,Handball Stäfa,15,1,6,3,0
Bertschinger Renato,Handball Stäfa,5,2.8,1,1,0
Gasser Dave,SG OHA,14,1,3,6,0
Mauro Stefano,SG OHA,14,1,3,7,0
Kobler Cédric,SG Fortitudo Gossau,15,0.9,0,5,0
Dittli Livio,SG Füchse Emmenbrücke/ Stans,17,0.8,2,2,0
Stenger Florian,GC Amicitia Zürich,13,1,1,3,0
Messina Fabio Urs,HSG Nordwest,14,0.9,0,0,0
Spiess Kevin,Pfadi Winterthur,7,1.7,0,0,0
Heimberg Fabian,HSG Nordwest,9,1.3,2,3,0
Labriola Moreno,SG Fortitudo Gossau,12,1,4,9,0
Manduca Matteo,HSC Suhr Aarau,14,0.9,0,0,0
Müller Marvin Darius,Pfadi Winterthur,13,0.9,0,1,0
Stüdemann von Ehrenstein Federico Jens,Kadetten Schaffhausen,15,0.7,1,1,0
Oechslin Patrick Alexander,BSV Future Bern,18,0.6,1,0,0
Tobler Andrin Maximilian,GC Amicitia Zürich,6,1.5,0,0,0
Ottrubay Gabriel,BSV Future Bern,9,1,0,0,0
Rudin Sebastian,SG LakeSide Wacker-Steffisburg,11,0.8,1,1,0
Schumacher Elia,SG Pilatus,11,0.8,1,4,0
Kusnandar Ramon,Handball Stäfa,17,0.5,0,0,0
Zahm Justin John Werner,SG LakeSide Wacker-Steffisburg,8,1,1,1,0
Baumann Max Linus,BSV Future Bern,10,0.8,0,0,0
Adamina Lorin,SG LakeSide Wacker-Steffisburg,12,0.7,0,0,0
Kauflin Jonas,Handball Stäfa,8,0.9,3,3,1
Davis Oskar Lynwood,SG Pilatus,10,0.7,0,0,0
Bolleter Timo Jan,SG OHA,3,2,0,0,0
Egger David Philip,SG LakeSide Wacker-Steffisburg,4,1.5,1,1,0
Bürki Sven,HSG Nordwest,11,0.5,0,0,0
Locher Simon Gabriel,SG Fortitudo Gossau,15,0.4,0,1,0
von Matt Björn,SG Füchse Emmenbrücke/ Stans,17,0.4,0,3,0
Zingg Tomás Sebastian,Pfadi Winterthur,2,2.5,0,0,0
Rajkovic Manuel,SG Fortitudo Gossau,3,1.7,0,0,0
Schudel Raphael,Handball Stäfa,7,0.7,0,0,0
Zuege Jan,SG LakeSide Wacker-Steffisburg,8,0.6,1,0,0
Huls Oliver Ben,Kadetten Schaffhausen,11,0.5,0,1,0
Keller Silvano,Pfadi Winterthur,10,0.5,1,0,0
Truniger Timon Daniel,SG Fortitudo Gossau,11,0.5,0,0,0
Wunderlin Raphael,SG Füchse Emmenbrücke/ Stans,14,0.4,0,2,0
Rossi Moreno,GC Amicitia Zürich,15,0.3,1,1,0
Badertscher Niklas,BSV Future Bern,2,2,0,0,0
Tomasevic Ivan,Kadetten Schaffhausen,7,0.6,1,2,0
Buholzer Nick,SG Pilatus,8,0.5,1,1,0
Baur Thomas Manuel,Kadetten Schaffhausen,10,0.4,0,0,0
Doudin Remo,SG Pilatus,9,0.4,0,0,0
Meier Alex,HSC Suhr Aarau,11,0.4,0,0,0
Ceresa Leonardo,GC Amicitia Zürich,16,0.3,1,1,0
Ramos Alexandre,Handball Stäfa,16,0.3,0,0,0
Gerber Marc,SG LakeSide Wacker-Steffisburg,3,1,0,0,0
Hirsch Elias Benjamin,SG LakeSide Wacker-Steffisburg,3,1,0,0,0
Hüppi Joël,Pfadi Winterthur,5,0.6,0,0,0
Loosli Lukas,HSC Suhr Aarau,5,0.6,1,0,0
Temcev David,Pfadi Winterthur,6,0.5,2,1,0
Cachin Philippe,GC Amicitia Zürich,14,0.2,0,0,0
Corradini Rouven,Pfadi Winterthur,1,2,0,0,0
Berli Emanuel,Handball Stäfa,2,1,0,0,0
Flückiger Nils,SG Pilatus,2,1,0,0,0
Hübscher Colin,Pfadi Winterthur,2,1,0,0,0
Streule Marco,SG Fortitudo Gossau,3,0.7,0,0,0
Aebi Fabian Timon,SG LakeSide Wacker-Steffisburg,4,0.5,0,0,0
Schertenleib Luc,SG OHA,4,0.5,0,0,0
Avdili Besmir,SG Fortitudo Gossau,16,0.1,0,0,0
Seravalli Mathieu,BSV Future Bern,16,0.1,0,0,0
Doan Huu Nhan,HSG Nordwest,1,1,0,0,0
Haupt Andrin,SG Pilatus,2,0.5,0,0,0
Koc Ömer,HSG Nordwest,2,0.5,0,2,0
Wenk Lucas,HSG Nordwest,2,0.5,0,0,0
Baumann Joshua,SG LakeSide Wacker-Steffisburg,3,0.3,0,0,0
Dietsche Tobias,SG OHA,16,0.1,0,0,0
Hady Bessam,Kadetten Schaffhausen,8,0.1,1,2,0
Hermann Janis Lukas,SG LakeSide Wacker-Steffisburg,8,0.1,0,0,0
Locher David Elia,SG Fortitudo Gossau,15,0.1,0,0,0
Lüthi Leon,BSV Future Bern,9,0.1,0,0,0
Pantelic Viktor,HSC Suhr Aarau,14,0.1,0,0,0
Schäpper Marcel Jonas,Pfadi Winterthur,14,0.1,0,0,0
Schär Severin,HSC Suhr Aarau,11,0.1,0,0,0
Schwizer Moris,HSG Nordwest,14,0.1,0,0,0
Augliera Matteo,SG Füchse Emmenbrücke/ Stans,2,0,0,0,0
Baeriswyl Aurel,HSC Suhr Aarau,7,0,0,0,0
Bär Valentin Mikòs,GC Amicitia Zürich,2,0,0,0,0
Bialas Maximilian,HSG Nordwest,2,0,0,0,0
Bise Nico Manuel,GC Amicitia Zürich,16,0,4,5,0
Bosch Sandro,SG Füchse Emmenbrücke/ Stans,2,0,1,3,0
Brenzikofer André,SG LakeSide Wacker-Steffisburg,15,0,0,0,0
Bühlmann Ulisse,SG Füchse Emmenbrücke/ Stans,5,0,0,0,0
Caforio Carlos,HSC Suhr Aarau,6,0,0,0,0
Dannmeyer Romeo,Pfadi Winterthur,1,0,0,0,0
Ebner Leo Aliou,SG LakeSide Wacker-Steffisburg,15,0,0,0,0
Estermann Julian,SG Füchse Emmenbrücke/ Stans,14,0,0,0,0
Ewald Björn Andreas,Kadetten Schaffhausen,9,0,0,0,0
Fischer Yannik,BSV Future Bern,3,0,0,0,0
Frei Loris,Pfadi Winterthur,4,0,0,0,0
Fürst Silvan Andrin,Handball Stäfa,1,0,0,0,0
Gamper Nicolas Marc,HSG Nordwest,8,0,0,0,0
Gerber Marvin,HSG Nordwest,1,0,0,0,0
Haas Lino,SG Pilatus,2,0,0,0,0
Häberli Simon Jonas Dominic,Handball Stäfa,1,0,0,0,0
Hagmann Leon Aleksandr,SG Pilatus,17,0,0,0,0
Hartmann Lukas,Handball Stäfa,5,0,0,0,0
Hecker Tim Gerd,Kadetten Schaffhausen,8,0,0,0,0
Herbst Cedric,SG Füchse Emmenbrücke/ Stans,18,0,0,0,0
Herbst Joel,SG Füchse Emmenbrücke/ Stans,2,0,0,0,0
Hoffmann Jan Mark,BSV Future Bern,5,0,0,0,0
Holaus Laurin Tim,GC Amicitia Zürich,3,0,0,0,0
Holenstein Fabrizio,SG Fortitudo Gossau,1,0,0,0,0
Hollitzer Silvan,SG Pilatus,3,0,0,1,0
Koch Jonas,SG Füchse Emmenbrücke/ Stans,13,0,0,0,0
Küffer Noah,SG Fortitudo Gossau,3,0,0,0,0
Lengauer Sandro Leandro,Pfadi Winterthur,2,0,0,1,0
Müller Jonas Gabriel,Pfadi Winterthur,18,0,0,0,0
Müller Tim,GC Amicitia Zürich,17,0,0,0,0
Näf Sven,SG Pilatus,12,0,0,0,0
Ochsner Valentin,HSC Suhr Aarau,1,0,0,1,0
Pena Perez Dave León,SG LakeSide Wacker-Steffisburg,1,0,0,0,0
Pulkkinen Benjamin Lenni,GC Amicitia Zürich,6,0,0,0,0
Racic Alex,GC Amicitia Zürich,1,0,0,0,0
Riesen Pascal,BSV Future Bern,13,0,0,0,0
Ris Fabio,HSG Nordwest,12,0,0,0,0
Ruhotina Mak,HSG Nordwest,1,0,0,0,0
Schmutz Lukas,SG LakeSide Wacker-Steffisburg,7,0,0,0,0
Schönthal Jeremy Angelo,SG OHA,19,0,0,0,0
Spirgi Lou,Kadetten Schaffhausen,19,0,0,0,0
Stojanoski Filip,HSC Suhr Aarau,2,0,0,0,0
Strub Jonah,BSV Future Bern,10,0,0,0,0
Weingartner Titus,HSG Nordwest,6,0,0,0,0
