playerName,team,games,goalsPerGame,yellowCards,2mins,redCards
Digirolamo Mirco,SG Biberist aktiv 2,12,9.2,6,6,2
Kaufmann Cyril,SG HV Olten 2,14,6.6,4,2,0
Kropf Lars,Handball Emme 1,16,5.7,5,8,0
Zitterli Thomas,PSG Lyss 5,11,7.9,3,1,0
Leuenberger Samuel,SG HVH/HVL 2 +,12,6.1,4,4,0
Wagner Fabian,Handball Emme 1,15,4.6,2,3,0
Roos Silas,TV Balsthal 1,14,4.8,5,5,0
Christen Simon,PSG Lyss 5,14,4.4,9,8,1
Malär Simon,PSG Lyss 5,9,6.7,4,6,0
Bruder Marc,TV Balsthal 1,14,4.3,4,4,0
Hug Oliver,HBC Büren,14,4.3,1,0,0
Blaser Jürg,Espace Handball,13,4.5,3,4,0
Bader David,TV Balsthal 1,14,4.1,3,5,0
Ruchti Michael,HBC Büren,11,4.9,6,8,0
Bieri Manuel,SG HVL/HVH 1,11,4.8,2,3,0
Flüeli Markus,SG HV Olten 2,11,4.8,4,4,0
Aebischer Philip,Espace Handball,12,4.3,4,3,0
Borner Dominik,SG HV Olten 2,13,3.8,5,4,0
Affolter Philippe,SG Biberist aktiv 2,14,3.4,5,4,0
Sommer Alain,SG HVL/HVH 1,10,4.6,4,0,0
Zilic Rafael,SG HVL/HVH 1,13,3.5,6,2,0
Sommer Reto,SG HVL/HVH 1,11,3.9,1,3,0
Hänggi Noah,SG HV Olten 2,14,3.1,4,6,0
Bohnenblust Dominik,Espace Handball,9,4.7,4,7,0
Moret Denis,PSG Lyss 5,8,5.1,1,2,0
Kress Manuel,Espace Handball,11,3.7,2,8,2
Vogel Cirill,TV Balsthal 1,12,3.4,1,1,0
Jutzi Florian,TV Steffisburg 3,10,4,0,0,0
Hofer Dominik,SG HVL/HVH 1,11,3.5,5,5,0
Duda Ragnar,Espace Handball,7,5.4,5,3,1
Rickli Samuel,HBC Büren,9,4.2,5,3,0
Bill Moritz,Handball Emme 1,14,2.7,1,5,0
Bloch Simon,SG HV Olten 2,13,2.5,1,0,0
Meier Adrian,SG HVH/HVL 2 +,8,3.8,2,5,0
Andrist Dominik,TV Steffisburg 3,13,2.3,2,4,0
Hügli Joel,Handball Emme 1,14,2.1,7,5,0
Naidoo Niall,HBC Büren,6,4.8,0,1,0
Targise Alessandro,TV Steffisburg 3,12,2.4,2,5,0
Gfeller Andreas,PSG Lyss 5,11,2.5,1,2,0
Grossenbacher Florian,PSG Lyss 5,12,2.3,4,8,0
Lienhard Marco,SG HVL/HVH 1,12,2.3,1,3,0
Grossen Philip,SG HVL/HVH 1,9,2.9,2,2,0
Hiltbrunner Dominic,HBC Büren,12,2.2,1,1,0
von Ballmoos David,Handball Emme 1,12,2.2,2,1,0
Winkelmann Markus,SG HVL/HVH 1,13,2,3,9,1
Suter Jürg,HBC Büren,7,3.6,2,0,0
Grädel Tobias,SG HVH/HVL 2 +,12,2.1,3,4,0
Sanchez Maurin,Handball Emme 1,12,2.1,2,2,0
Haefeli Marc,TV Balsthal 1,11,2.2,3,11,3
Feller Luis,Handball Emme 1,6,3.8,4,3,0
Rüegg Tim,SG Biberist aktiv 2,6,3.8,2,4,0
Jutzi Thomas,TV Steffisburg 3,9,2.6,1,0,0
Kleist Fabian,PSG Lyss 5,9,2.6,1,0,0
Kappeler Bruno,Espace Handball,11,2.1,3,10,0
Digirolamo Flavio,SG Biberist aktiv 2,12,1.9,1,3,0
Meister Manuel,TV Balsthal 1,12,1.8,5,5,0
Weber Pascal,SG Biberist aktiv 2,12,1.8,5,1,0
Ingold Miro,SG HVH/HVL 2 +,3,7,1,0,0
Tschanz Timon,TV Steffisburg 3,7,3,3,1,0
Bärtschi Florian,SG HVL/HVH 1,8,2.6,2,2,0
Meyer Markus,Handball Emme 1,13,1.6,3,5,0
Büttiker Benedict,SG HV Olten 2,6,3.3,1,1,0
Lienhard Remo,SG HVL/HVH 1,8,2.5,0,2,0
Schläppi Yanik,Espace Handball,10,2,1,1,0
Kienast Simon,TV Steffisburg 3,14,1.4,4,4,0
Grau Ramon,PSG Lyss 5,7,2.7,1,2,0
Sommer Daniel,SG HVH/HVL 2 +,9,2.1,4,1,0
Glutz Oliver,SG Biberist aktiv 2,10,1.9,2,5,0
Studer Aaron,SG HV Olten 2,11,1.7,2,2,0
Bortot Dario,HBC Büren,13,1.5,3,3,0
