SPIELER,TORE,7M,%,TF,V,2',D
Linder Luca,2/4,0,50,,0,0,0
Rubin Lenny,7/10,0,70,3,0,0,0
Raemy Nicolas,1/3,0,33,1,0,1,0
Dähler Jonas,3/3,0,100,,1,0,0
Suter Nicolas,0/1,0,0,,0,0,1
Giovanelli Marco,1/1,0,100,,0,0,0
Glatthard Viktor,0,0,,,1,1,0
Lanz Thomas,1/3,0,33,,0,1,0
Caspar Roman,0/1,0,0,,1,1,0
Friedli Reto,4/5,0,80,1,0,0,0
von Deschwanden Lukas,8/12,4/4,66,1,0,0,0
Winkler Marc,0,0,,,0,0,0
Guignet Damien,0/1,0,0,,0,0,0
Sorgen Janick,0,0,,,0,0,0
Krainer Sven,1/1,0,100,,0,0,0
Wick Flavio,0,0,,,0,0,0
